BOYACÁ,COPER,1,1,1,1
BOYACÁ,CORRALES,1,1,1,1
BOYACÁ,COVARACHÍA,1,1,1,1
BOYACÁ,CUBARÁ,2,2,2,2
BOYACÁ,CUCAITA,1,1,1,1
BOYACÁ,CUÍTIVA,2,2,2,2
BOYACÁ,CÓMBITA,3,3,3,3
BOYACÁ,DUITAMA,6,6,6,6
BOYACÁ,EL COCUY,2,2,2,2
BOYACÁ,EL ESPINO,1,1,1,1
BOYACÁ,FIRAVITOBA,2,2,2,2
BOYACÁ,FLORESTA,2,2,2,2
BOYACÁ,GACHANTIVÁ,1,1,1,1
BOYACÁ,GAMEZA,1,1,1,1
BOYACÁ,GARAGOA,2,2,2,2
BOYACÁ,GUACAMAYAS,1,1,1,1
BOYACÁ,GUATEQUE,2,2,2,2
BOYACÁ,GUAYATÁ,1,1,1,1
BOYACÁ,GÜICÁN,1,1,1,1
BOYACÁ,IZA,1,1,1,1
BOYACÁ,JENESANO,2,2,2,2
BOYACÁ,JERICÓ,2,2,2,2
BOYACÁ,LA CAPILLA,1,1,1,1
BOYACÁ,LA UVITA,2,2,2,2
BOYACÁ,LA VICTORIA,1,1,1,1
BOYACÁ,LABRANZAGRANDE,1,1,1,1
BOYACÁ,MACANAL,2,2,2,2
BOYACÁ,MARIPÍ,4,4,4,4
BOYACÁ,MIRAFLORES,2,2,2,2
BOYACÁ,MONGUA,1,1,1,1
BOYACÁ,MONGUÍ,2,2,2,2
BOYACÁ,MONIQUIRÁ,2,2,2,2
BOYACÁ,MOTAVITA,1,1,1,1
BOYACÁ,MUZO,2,2,2,2
BOYACÁ,NOBSA,7,7,7,7
BOYACÁ,NUEVO COLÓN,1,1,1,1
BOYACÁ,OICATÁ,1,1,1,1
BOYACÁ,OTANCHE,3,3,3,3
BOYACÁ,PACHAVITA,1,1,1,1
BOYACÁ,PAIPA,3,3,3,3
BOYACÁ,PAJARITO,2,2,2,2
BOYACÁ,PANQUEBA,1,1,1,1
BOYACÁ,PAUNA,2,2,2,2
BOYACÁ,PAYA,2,2,2,2
BOYACÁ,PAZ DE RÍO,3,3,3,3
BOYACÁ,PESCA,1,1,1,1
BOYACÁ,PISBA,1,1,1,1
BOYACÁ,PUERTO BOYACÁ,14,14,14,14
BOYACÁ,PÁEZ,2,2,2,2
BOYACÁ,QUÍPAMA,3,3,3,3
BOYACÁ,RAMIRIQUÍ,4,4,4,4
BOYACÁ,RONDÓN,2,2,2,2
BOYACÁ,RÁQUIRA,3,3,3,3
BOYACÁ,SABOYÁ,2,2,2,2
BOYACÁ,SAMACÁ,3,3,3,3
BOYACÁ,SAN EDUARDO,1,1,1,1
BOYACÁ,SAN JOSÉ DE PARE,1,1,1,1
BOYACÁ,SAN LUIS DE GACENO,4,4,4,4
BOYACÁ,SAN MATEO,1,1,1,1
BOYACÁ,SAN MIGUEL DE SEMA,1,1,1,1
BOYACÁ,SAN PABLO DE BORBUR,2,2,2,2
BOYACÁ,SANTA ROSA DE VITERBO,2,2,2,2
BOYACÁ,SANTA SOFÍA,1,1,1,1
BOYACÁ,SANTANA,2,2,2,2
BOYACÁ,SATIVANORTE,2,2,2,2
BOYACÁ,SATIVASUR,1,1,1,1
BOYACÁ,SIACHOQUE,1,1,1,1
BOYACÁ,SOATÁ,2,2,2,2
BOYACÁ,SOCHA,3,3,3,3
BOYACÁ,SOCOTÁ,2,2,2,2
BOYACÁ,SOGAMOSO,4,4,4,4
BOYACÁ,SOMONDOCO,2,2,2,2
BOYACÁ,SORA,1,1,1,1
BOYACÁ,SORACÁ,2,2,2,2
